"","ID","aligncode","round1","target","condition","freq1","word","age","languages","partner"
"1",115,"1","1","sapo","SS",3,"sapo",31,2,"in"
"2",115,"0","1","tripa","SS",7,"barriga",31,2,"in"
"3",115,"0","1","papa","SS",7,"patata",31,2,"in"
"4",115,"1","1","roedor","SS",0,"roedor",31,2,"in"
"5",115,"1","1","motocicleta","SS",0,"motocicleta",31,2,"in"
"6",115,"1","1","ropa interior","SS",0,"ropa interior",31,2,"in"
"7",115,"0","1","lentes","SS",0,"gafas",31,2,"in"
"8",115,"1","1","nino","SS",3,"nino",31,2,"in"
"9",115,"0","1","instrumento musical","SS",0,"acorde¢n",31,2,"in"
"10",115,"1","1","pintura","SS",0,"pintura",31,2,"in"
"11",115,"1","1","freson","SS",0,"freson",31,2,"in"
"12",115,"1","1","cuchillo","SS",20,"cuchillo",31,2,"in"
"13",115,"0","1","ferrocarril","SS",0,"tren",31,2,"in"
"14",115,"1","1","cuberteria","SS",13,"cuberteria",31,2,"in"
"15",115,"0","1","cabello","SS",7,"pelo",31,2,"in"
"16",115,"0","1","birra","SS",7,"cerveza",31,2,"in"
"17",115,"0","1","banana","SS",10,"pl tano",31,2,"in"
"18",115,"0","1","barra de labios","SS",0,"pintalabios",31,2,"in"
"19",115,"0","1","asno","SS",7,"burro",31,2,"in"
"20",115,"0","1","alfombrilla","SS",17,"felpudo",31,2,"in"
"21",115,"0","1","guardarropa","SS",0,"armario",31,2,"in"
"22",116,"1","1","tripa","SS",7,"tripa",23,2,"in"
"23",116,"1","1","sapo","SS",3,"sapo",23,2,"in"
"24",116,"0","1","ropa interior","SS",0,"bragas",23,2,"in"
"25",116,"0","1","papa","SS",7,"patata",23,2,"in"
"26",116,"0","1","roedor","SS",0,"raton",23,2,"in"
"27",116,"0","1","pintura","SS",0,"cuadro",23,2,"in"
"28",116,"0","1","lentes","SS",0,"gafas",23,2,"in"
"29",116,"0","1","nino","SS",3,"bebe",23,2,"in"
"30",116,"1","1","instrumento musical","SS",0,"instrumento musical",23,2,"in"
"31",116,"1","1","guardarropa","SS",0,"guardarropa",23,2,"in"
"32",116,"0","1","freson","SS",0,"fresa",23,2,"in"
"33",116,"1","1","cuchillo","SS",20,"cuchillo",23,2,"in"
"34",116,"1","1","ferrocarril","SS",0,"ferrocarril",23,2,"in"
"35",116,"0","1","cuberteria","SS",13,"cubiertos",23,2,"in"
"36",116,"1","1","cabello","SS",7,"cabello",23,2,"in"
"37",116,"1","1","birra","SS",7,"birra",23,2,"in"
"38",116,"1","1","banana","SS",10,"banana",23,2,"in"
"39",116,"1","1","motocicleta","SS",0,"motocicleta",23,2,"in"
"40",116,"1","1","asno","SS",7,"asno",23,2,"in"
"41",116,"1","1","alfombrilla","SS",17,"alfombrilla",23,2,"in"
"42",116,"0","1","barra de labios","SS",0,"pintalabios",23,2,"in"
"43",117,"1","1","tripa","SS",7,"tripa",23,2,"in"
"44",117,"1","1","ropa interior","SS",0,"ropa interior",23,2,"in"
"45",117,"0","1","papa","SS",7,"patata",23,2,"in"
"46",117,"0","1","roedor","SS",0,"rata",23,2,"in"
"47",117,"0","1","motocicleta","SS",0,"moto",23,2,"in"
"48",117,"0","1","pintura","SS",0,"cuadro",23,2,"in"
"49",117,"0","1","lentes","SS",0,"gafas",23,2,"in"
"50",117,"1","1","nino","SS",3,"nino",23,2,"in"
"51",117,"1","1","instrumento musical","SS",0,"instrumento musical",23,2,"in"
"52",117,"1","1","guardarropa","SS",0,"guardarropa",23,2,"in"
"53",117,"1","1","freson","SS",0,"freson",23,2,"in"
"54",117,"0","1","sapo","SS",3,"rana",23,2,"in"
"55",117,"1","1","ferrocarril","SS",0,"ferrocarril",23,2,"in"
"56",117,"1","1","cuberteria","SS",13,"cuberteria",23,2,"in"
"57",117,"1","1","cabello","SS",7,"cabello",23,2,"in"
"58",117,"1","1","birra","SS",7,"birra",23,2,"in"
"59",117,"1","1","banana","SS",10,"banana",23,2,"in"
"60",117,"1","1","barra de labios","SS",0,"barra de labios",23,2,"in"
"61",117,"1","1","asno","SS",7,"asno",23,2,"in"
"62",117,"1","1","alfombrilla","SS",17,"alfombrilla",23,2,"in"
"63",117,"1","1","cuchillo","SS",20,"cuchillo",23,2,"in"
"64",118,"1","1","sapo","SS",3,"sapo",31,1,"in"
"65",118,"0","1","tripa","SS",7,"barriga",31,1,"in"
"66",118,"0","1","papa","SS",7,"patata",31,1,"in"
"67",118,"0","1","roedor","SS",0,"rat¢n",31,1,"in"
"68",118,"1","1","motocicleta","SS",0,"motocicleta",31,1,"in"
"69",118,"0","1","ropa interior","SS",0,"bragas",31,1,"in"
"70",118,"0","1","lentes","SS",0,"gafas",31,1,"in"
"71",118,"1","1","nino","SS",3,"nino",31,1,"in"
"72",118,"0","1","instrumento musical","SS",0,"acordeon",31,1,"in"
"73",118,"0","1","guardarropa","SS",0,"armario",31,1,"in"
"74",118,"0","1","freson","SS",0,"fresa",31,1,"in"
"75",118,"0","1","cuchillo","SS",20,"navaja",31,1,"in"
"76",118,"0","1","ferrocarril","SS",0,"tren",31,1,"in"
"77",118,"0","1","cuberteria","SS",13,"cubiertos",31,1,"in"
"78",118,"1","1","cabello","SS",7,"cabello",31,1,"in"
"79",118,"0","1","birra","SS",7,"cerveza",31,1,"in"
"80",118,"0","1","banana","SS",10,"pl tano",31,1,"in"
"81",118,"0","1","barra de labios","SS",0,"pintalabios",31,1,"in"
"82",118,"1","1","pintura","SS",0,"pintura",31,1,"in"
"83",118,"1","1","alfombrilla","SS",17,"alfombrilla",31,1,"in"
"84",118,"1","1","asno","SS",7,"asno",31,1,"in"
"85",119,"1","1","tripa","SS",7,"tripa",24,2,"in"
"86",119,"1","1","sapo","SS",3,"sapo",24,2,"in"
"87",119,"1","1","ropa interior","SS",0,"ropa interior",24,2,"in"
"88",119,"1","1","papa","SS",7,"papa",24,2,"in"
"89",119,"1","1","roedor","SS",0,"roedor",24,2,"in"
"90",119,"1","1","motocicleta","SS",0,"motocicleta",24,2,"in"
"91",119,"1","1","pintura","SS",0,"pintura",24,2,"in"
"92",119,"1","1","lentes","SS",0,"lentes",24,2,"in"
"93",119,"1","1","nino","SS",3,"nino",24,2,"in"
"94",119,"1","1","instrumento musical","SS",0,"instrumento musical",24,2,"in"
"95",119,"1","1","guardarropa","SS",0,"guardarropa",24,2,"in"
"96",119,"1","1","freson","SS",0,"freson",24,2,"in"
"97",119,"1","1","cuchillo","SS",20,"cuchillo",24,2,"in"
"98",119,"1","1","ferrocarril","SS",0,"ferrocarril",24,2,"in"
"99",119,"1","1","cabello","SS",7,"cabello",24,2,"in"
"100",119,"1","1","birra","SS",7,"birra",24,2,"in"
"101",119,"1","1","banana","SS",10,"banana",24,2,"in"
"102",119,"1","1","barra de labios","SS",0,"barra de labios",24,2,"in"
"103",119,"1","1","asno","SS",7,"asno",24,2,"in"
"104",119,"1","1","alfombrilla","SS",17,"alfombrilla",24,2,"in"
"105",119,"1","1","cuberteria","SS",13,"cuberteria",24,2,"in"
"106",120,"1","1","tripa","SS",7,"tripa",42,2,"in"
"107",120,"0","1","sapo","SS",3,"rana",42,2,"in"
"108",120,"0","1","ropa interior","SS",0,"braguitas",42,2,"in"
"109",120,"0","1","papa","SS",7,"patata",42,2,"in"
"110",120,"0","1","motocicleta","SS",0,"moto",42,2,"in"
"111",120,"0","1","pintura","SS",0,"cuadro",42,2,"in"
"112",120,"0","1","lentes","SS",0,"gafas",42,2,"in"
"113",120,"0","1","roedor","SS",0,"rat¢n",42,2,"in"
"114",120,"0","1","instrumento musical","SS",0,"acorde¢n",42,2,"in"
"115",120,"0","1","guardarropa","SS",0,"armario",42,2,"in"
"116",120,"0","1","freson","SS",0,"fresa",42,2,"in"
"117",120,"1","1","cuchillo","SS",20,"cuchillo",42,2,"in"
"118",120,"0","1","ferrocarril","SS",0,"tren",42,2,"in"
