,ID,target,answer,correct,condition,freq1,align
1,2400,arma,pistola,CORRECT,AM,0,0
2,2401,arma,pistola,CORRECT,AM,0,0
3,2402,arma,pistola,CORRECT,AM,0,0
4,2403,arma,pistola,CORRECT,AM,0,0
5,2405,arma,revolver,CORRECT,AM,0,0
6,2406,arma,arma,CORRECT,AM,0,1
7,2407,arma,revï¿½lver,CORRECT,AM,0,0
8,2408,arma,pistola,CORRECT,AM,0,0
9,2409,arma,arma,CORRECT,AM,0,1
10,2410,arma,pistola,CORRECT,AM,0,0
11,2411,arma,arma,CORRECT,AM,0,1
12,2412,arma,arma,CORRECT,AM,0,1
13,2413,arma,arma,CORRECT,AM,0,1
14,2414,arma,pistola,CORRECT,AM,0,0
15,2419,arma,pistola,CORRECT,AM,0,0
16,2420,arma,arma,CORRECT,AM,0,1
17,2421,arma,arma,CORRECT,AM,0,1
18,2424,arma,pistola,CORRECT,AM,0,0
19,2426,arma,pistola,CORRECT,AM,0,0
20,2427,arma,arma,CORRECT,AM,0,1
21,2428,arma,revolver,CORRECT,AM,0,0
22,2429,arma,pistola,CORRECT,AM,0,0
23,2430,arma,pistola,CORRECT,AM,0,0
24,2431,arma,arma,CORRECT,AM,0,1
25,2432,arma,arma,CORRECT,AM,0,1
26,2433,arma,pistola,CORRECT,AM,0,0
27,2434,arma,pistola,CORRECT,AM,0,0
28,2435,arma,pistola,CORRECT,AM,0,0
29,2436,arma,pistola,CORRECT,AM,0,0
30,2438,arma,pistola,CORRECT,AM,0,0
31,2440,arma,arma,CORRECT,AM,0,1
32,2441,arma,arma,CORRECT,AM,0,1
33,2442,arma,arma,CORRECT,AM,0,1
34,2443,arma,arma,CORRECT,AM,0,1
35,2444,arma,pistola,CORRECT,AM,0,0
36,2445,arma,pistola,CORRECT,AM,0,0
37,2447,arma,pistola,CORRECT,AM,0,0
38,2448,arma,pistola,CORRECT,AM,0,0
39,2400,banera,banera,CORRECT,AM,19,1
40,2401,banera,banera,CORRECT,AM,19,1
41,2402,banera,tina,CORRECT,AM,19,0
42,2403,banera,tina,CORRECT,AM,19,0
43,2405,banera,banera,CORRECT,AM,19,1
44,2406,banera,banera,CORRECT,AM,19,1
45,2407,banera,banera,CORRECT,AM,19,1
46,2408,banera,tina,CORRECT,AM,19,0
47,2409,banera,banera,CORRECT,AM,19,1
48,2410,banera,tina,CORRECT,AM,19,0
49,2411,banera,banera,CORRECT,AM,19,1
50,2412,banera,banera,CORRECT,AM,19,1
