,ID,target,condition,align,reuse,freq1
1,2400,arma,AM,0,1,0
2,2401,arma,AM,0,1,0
3,2402,arma,AM,0,1,0
4,2403,arma,AM,0,1,0
5,2405,arma,AM,0,0,0
6,2406,arma,AM,1,1,0
7,2407,arma,AM,0,1,0
8,2408,arma,AM,0,1,0
9,2409,arma,AM,1,0,0
10,2410,arma,AM,0,1,0
11,2411,arma,AM,1,0,0
12,2412,arma,AM,1,0,0
13,2413,arma,AM,1,1,0
14,2414,arma,AM,0,1,0
15,2419,arma,AM,0,0,0
16,2420,arma,AM,1,1,0
17,2421,arma,AM,1,0,0
18,2424,arma,AM,0,1,0
19,2426,arma,AM,0,1,0
20,2427,arma,AM,1,0,0
21,2428,arma,AM,0,1,0
22,2429,arma,AM,0,1,0
23,2430,arma,AM,0,1,0
24,2431,arma,AM,1,1,0
25,2432,arma,AM,1,1,0
26,2433,arma,AM,0,1,0
27,2434,arma,AM,0,1,0
28,2435,arma,AM,0,1,0
29,2436,arma,AM,0,1,0
30,2438,arma,AM,0,1,0
31,2440,arma,AM,1,0,0
32,2441,arma,AM,1,1,0
33,2442,arma,AM,1,1,0
34,2443,arma,AM,1,0,0
35,2444,arma,AM,0,1,0
36,2445,arma,AM,0,1,0
37,2447,arma,AM,0,1,0
38,2448,arma,AM,0,1,0
39,2400,banera,AM,1,1,19
40,2401,banera,AM,1,1,19
41,2402,banera,AM,0,1,19
42,2403,banera,AM,0,1,19
43,2405,banera,AM,1,1,19
44,2406,banera,AM,1,1,19
45,2407,banera,AM,1,1,19
46,2408,banera,AM,0,1,19
47,2409,banera,AM,1,1,19
48,2410,banera,AM,0,1,19
49,2411,banera,AM,1,1,19
50,2412,banera,AM,1,0,19
51,2414,banera,AM,1,1,19
52,2419,banera,AM,1,1,19
53,2420,banera,AM,1,1,19
54,2421,banera,AM,1,1,19
55,2424,banera,AM,1,1,19
56,2426,banera,AM,1,1,19
57,2427,banera,AM,1,1,19
58,2428,banera,AM,1,1,19
59,2429,banera,AM,1,1,19
60,2430,banera,AM,1,1,19
61,2431,banera,AM,1,1,19
62,2432,banera,AM,0,1,19
63,2433,banera,AM,0,1,19
64,2434,banera,AM,1,1,19
65,2435,banera,AM,1,1,19
66,2436,banera,AM,1,1,19
67,2438,banera,AM,0,0,19
68,2440,banera,AM,1,0,19
69,2441,banera,AM,1,0,19
70,2442,banera,AM,1,1,19
71,2443,banera,AM,1,0,19
72,2444,banera,AM,0,1,19
73,2445,banera,AM,1,0,19
74,2447,banera,AM,1,1,19
75,2448,banera,AM,0,0,19
76,2400,barriga,AM,1,1,0
77,2401,barriga,AM,0,1,0
78,2402,barriga,AM,0,1,0
79,2403,barriga,AM,0,1,0
80,2405,barriga,AM,0,1,0
81,2406,barriga,AM,1,1,0
82,2407,barriga,AM,1,1,0
83,2408,barriga,AM,0,1,0
84,2409,barriga,AM,1,1,0
85,2410,barriga,AM,1,0,0
86,2411,barriga,AM,1,0,0
87,2412,barriga,AM,1,0,0
88,2413,barriga,AM,1,1,0
89,2414,barriga,AM,0,0,0
90,2419,barriga,AM,1,1,0
91,2420,barriga,AM,0,1,0
92,2421,barriga,AM,0,1,0
93,2424,barriga,AM,0,1,0
