"","ID","R1","R2","target","condition","freq1","word1","word2","reuse","switch","first","second"
"1","100","0","0","arma","MA",0,"pistola","pistola","1","yes","in","out"
"2","100","1","1","bañera","MA",19,"bañera","bañera","1","yes","in","out"
"3","100","0","0","barriga","MA",0,"panza","panza","1","yes","in","out"
"4","100","1","1","bolígrafo","MA",4,"bolígrafo","bolígrafo","1","yes","in","out"
"5","100","1","1","bombilla","MA",1,"bombilla","bombilla","1","yes","in","out"
"6","100","0","1","cigarrillo","MA",0,"cigarro","cigarrillo","0","yes","in","out"
"7","100","0","0","emparedado","MA",0,"sandwich","sandwich","1","yes","in","out"
"8","100","0","0","gafas","MA",0,"lentes","lentes","1","yes","in","out"
"9","100","0","0","liebre","MA",0,"conejo","conejo","1","yes","in","out"
"10","100","0","1","maní","MA",0,"cacahuate","maní","0","yes","in","out"
"11","100","0","0","médico","MA",15,"doctor","doctor","1","yes","in","out"
"12","100","0","1","melocotón","MA",0,"durazno","melocotón","0","yes","in","out"
"13","100","0","1","motocicleta","MA",20,"moto","motocicleta","0","yes","in","out"
"14","100","0","0","móvil","MA",0,"celular","celular","1","yes","in","out"
"15","100","0","1","patata","MA",0,"papa","patata","0","yes","in","out"
"16","100","0","0","pelota","MA",19,"balón","balón","1","yes","in","out"
"17","100","0","0","roedor","MA",0,"ratón","ratón","1","yes","in","out"
"18","100","1","1","sapo","MA",10,"sapo","sapo","1","yes","in","out"
"19","100","0","0","sudadera","MA",0,"suéter","suéter","1","yes","in","out"
"20","100","0","0","templo","MA",0,"iglesia","iglesia","1","yes","in","out"
"21","101","1","0","arma","MA",0,"arma","pistola","0","yes","in","out"
"22","101","1","1","bañera","MA",19,"bañera","bañera","1","yes","in","out"
"23","101","1","1","barriga","MA",0,"barriga","barriga","1","yes","in","out"
"24","101","1","1","bolígrafo","MA",4,"bolígrafo","bolígrafo","1","yes","in","out"
"25","101","1","1","bombilla","MA",1,"bombilla","bombilla","1","yes","in","out"
"26","101","0","1","cigarrillo","MA",0,"cigarro","cigarrillo","0","yes","in","out"
"27","101","1","1","emparedado","MA",0,"emparedado","emparedado","1","yes","in","out"
"28","101","1","1","gafas","MA",0,"gafas","gafas","1","yes","in","out"
"29","101","1","1","liebre","MA",0,"liebre","liebre","1","yes","in","out"
"30","101","1","1","maní","MA",0,"maní","maní","1","yes","in","out"
"31","101","1","1","médico","MA",15,"médico","médico","1","yes","in","out"
"32","101","1","1","melocotón","MA",0,"melocotón","melocotón","1","yes","in","out"
"33","101","1","1","motocicleta","MA",20,"motocicleta","motocicleta","1","yes","in","out"
"34","101","0","0","móvil","MA",0,"celular","celular","1","yes","in","out"
"35","101","1","0","patata","MA",0,"patata","papa","0","yes","in","out"
"36","101","1","0","pelota","MA",19,"pelota","balón","0","yes","in","out"
"37","101","0","0","roedor","MA",0,"rata","rata","1","yes","in","out"
