"","ID","R1","R2","target","condition","freq1","word1","word2","reuse","switch","first","second"
"1",115,"0","0","alfombrilla","SS",17,"felpudo","felpudo","1","no","in","in"
"2",115,"0","0","asno","SS",7,"burro","burro","1","no","in","in"
"3",115,"0","0","banana","SS",10,"pl tano","pl tano","1","no","in","in"
"4",115,"0","0","barra de labios","SS",0,"pintalabios","pintalabios","1","no","in","in"
"5",115,"0","0","birra","SS",7,"cerveza","cerveza","1","no","in","in"
"6",115,"0","0","cabello","SS",7,"pelo","pelo","1","no","in","in"
"7",115,"1","0","cuberteria","SS",13,"cuberteria","cubiertos","0","no","in","in"
"8",115,"1","1","cuchillo","SS",20,"cuchillo","cuchillo","1","no","in","in"
"9",115,"0","0","ferrocarril","SS",0,"tren","tren","1","no","in","in"
"10",115,"1","0","freson","SS",0,"freson","fresa","0","no","in","in"
"11",115,"0","0","guardarropa","SS",0,"armario","armario","1","no","in","in"
"12",115,"0","0","instrumento musical","SS",0,"acorde¢n","acorde¢n","1","no","in","in"
"13",115,"0","0","lentes","SS",0,"gafas","gafas","1","no","in","in"
"14",115,"1","0","motocicleta","SS",0,"motocicleta","moto","0","no","in","in"
"15",115,"1","0","nino","SS",3,"nino","beb‚","0","no","in","in"
"16",115,"0","0","papa","SS",7,"patata","patata","1","no","in","in"
"17",115,"1","0","pintura","SS",0,"pintura","cuadro","0","no","in","in"
"18",115,"1","0","roedor","SS",0,"roedor","rat¢n","0","no","in","in"
"19",115,"1","1","ropa interior","SS",0,"ropa interior","ropa interior","1","no","in","in"
"20",115,"1","1","sapo","SS",3,"sapo","sapo","1","no","in","in"
"21",115,"0","0","tripa","SS",7,"barriga","barriga","1","no","in","in"
"22",116,"1","0","alfombrilla","SS",17,"alfombrilla","felpudo","0","no","in","in"
"23",116,"1","0","asno","SS",7,"asno","burro","0","no","in","in"
"24",116,"1","0","banana","SS",10,"banana","platano","0","no","in","in"
"25",116,"0","0","barra de labios","SS",0,"pintalabios","pintalabios","1","no","in","in"
"26",116,"1","0","birra","SS",7,"birra","cerveza","0","no","in","in"
"27",116,"1","0","cabello","SS",7,"cabello","pelo","0","no","in","in"
"28",116,"0","0","cuberteria","SS",13,"cubiertos","cubiertos","1","no","in","in"
"29",116,"1","1","cuchillo","SS",20,"cuchillo","cuchillo","1","no","in","in"
"30",116,"1","0","ferrocarril","SS",0,"ferrocarril","tren","0","no","in","in"
"31",116,"0","0","freson","SS",0,"fresa","fresa","1","no","in","in"
"32",116,"1","0","guardarropa","SS",0,"guardarropa","armario","0","no","in","in"
"33",116,"1","0","instrumento musical","SS",0,"instrumento musical","acordeon","0","no","in","in"
"34",116,"0","0","lentes","SS",0,"gafas","gafsa","0","no","in","in"
"35",116,"1","0","motocicleta","SS",0,"motocicleta","moto","0","no","in","in"
"36",116,"0","0","nino","SS",3,"bebe","bebe","1","no","in","in"
"37",116,"0","0","papa","SS",7,"patata","patata","1","no","in","in"
"38",116,"0","0","pintura","SS",0,"cuadro","cuadro","1","no","in","in"
"39",116,"0","0","roedor","SS",0,"raton","raton","1","no","in","in"
"40",116,"0","0","ropa interior","SS",0,"bragas","bragas","1","no","in","in"
"41",116,"1","1","sapo","SS",3,"sapo","sapo","1","no","in","in"
"42",116,"1","1","tripa","SS",7,"tripa","tripa","1","no","in","in"
"43",117,"1","0","alfombrilla","SS",17,"alfombrilla","felpudo","0","no","in","in"
"44",117,"1","0","asno","SS",7,"asno","burro","0","no","in","in"
"45",117,"1","0","banana","SS",10,"banana","platano","0","no","in","in"
"46",117,"1","0","barra de labios","SS",0,"barra de labios","pintalabios","0","no","in","in"
"47",117,"1","0","birra","SS",7,"birra","cerveza","0","no","in","in"
"48",117,"1","0","cabello","SS",7,"cabello","pelo","0","no","in","in"
"49",117,"1","0","cuberteria","SS",13,"cuberteria","cubiertos","0","no","in","in"
"50",117,"1","0","cuchillo","SS",20,"cuchillo","navaja","0","no","in","in"
"51",117,"1","0","ferrocarril","SS",0,"ferrocarril","tren","0","no","in","in"
"52",117,"1","0","freson","SS",0,"freson","fresa","0","no","in","in"
"53",117,"1","0","guardarropa","SS",0,"guardarropa","armario","0","no","in","in"
"54",117,"1","0","instrumento musical","SS",0,"instrumento musical","acordeon","0","no","in","in"
"55",117,"0","0","lentes","SS",0,"gafas","gafas","1","no","in","in"
"56",117,"0","0","motocicleta","SS",0,"moto","moto","1","no","in","in"
"57",117,"1","0","nino","SS",3,"nino","bebe","0","no","in","in"
"58",117,"0","0","papa","SS",7,"patata","patata","1","no","in","in"
"59",117,"0","0","pintura","SS",0,"cuadro","cuadro","1","no","in","in"
"60",117,"0","1","roedor","SS",0,"rata","roedor","0","no","in","in"
"61",117,"1","1","ropa interior","SS",0,"ropa interior","ropa interior","1","no","in","in"
"62",117,"0","1","sapo","SS",3,"rana","sapo","0","no","in","in"
"63",117,"1","1","tripa","SS",7,"tripa","tripa","1","no","in","in"
"64",118,"1","1","alfombrilla","SS",17,"alfombrilla","alfombrilla","1","no","in","in"
"65",118,"1","1","asno","SS",7,"asno","asno","1","no","in","in"
"66",118,"0","0","banana","SS",10,"pl tano","pl tano","1","no","in","in"
"67",118,"0","0","barra de labios","SS",0,"pintalabios","pintalabios","1","no","in","in"
"68",118,"0","0","birra","SS",7,"cerveza","cerveza","1","no","in","in"
"69",118,"1","1","cabello","SS",7,"cabello","cabello","1","no","in","in"
"70",118,"0","0","cuberteria","SS",13,"cubiertos","cubiertos","1","no","in","in"
